size,total_sqft,bathrooms,balcony,site_location,price
2,350,1,1,Wakadewadi,13.5
1,395,1,1,Kalyani Nagar,10.25
1,400,1,1,Model colony,12
1,400,1,1,Pune Railway Station,14
1,400,1,1,Satara Road,11.5
1,400,1,1,Senapati Bapat Road,11
1,418,1,1,Kondhwa Khurd,12
1,420,1,1,Fergusson College Road,17
1,450,1,0,Gultekdi,16
1,450,1,1,Kasba Peth,12.5
1,450,1,1,Pune Railway Station,18
1,485,1,1,Ghorpade Peth,19.5
1,488,1,1,Hadapsar,20
1,500,1,0,Shukrawar Peth,20
1,520,1,1,Paud Road,15
1,527,1,0,Model colony,26
1,567,1,1,Kothrud,25
1,580,1,1,Kothrud,45
1,580,1,1,Nana Peth,27
1,595,1,1,Nana Peth,42
1,596,1,1,Market yard,42
1,600,1,1,Camp,35
1,600,1,1,Chandan Nagar,30
1,600,1,0,Dhayari Phata,20
1,600,1,1,Pashan,19.5
1,602,1,1,Pashan,33
1,630,1,1,Dhayari Phata,60
1,630,1,1,Navi Peth,34.65
1,635,1,0,Kalyani Nagar,26
1,635,1,1,Parvati Darshan,28
1,640,1,0,Sinhagad Road,55
1,640,1,1,Viman Nagar,20.5
1,645,1,1,Aundh Road,41
1,646,1,0,Narayan Peth,25.84
1,650,1,2,Kothrud,33
1,662,1,0,Manik Bagh,45
1,664,1,1,Vishrant Wadi,34
1,675,1,1,Koregaon Park,27
1,675,1,1,Wanowrie,45
1,693,1,1,Mundhawa,34.3
1,710,1,1,Ghorpadi,27
1,710,2,2,Kalyani Nagar,40
1,810,1,0,Tilak Road,21
1,834,1,1,Ganeshkhind,60
1,840,2,2,Gokhale Nagar,50
1,850,1,2,Aundh Road,57
1,850,1,2,Kondhwa Khurd,60
1,905,1,1,Aundh Road,52
1,923,1,1,Hadapsar,45.69
2,435,1,1,Salunke Vihar,19.5
2,550,1,1,Chandan Nagar,27
2,905,1,1,Uruli Devachi,52
2,296,1,0,Tilak Road,22.89
2,440,1,0,Aundh,28
2,445,1,0,Camp,28
2,510,1,1,Dhankawadi,25.25
2,510,1,0,Fergusson College Road,25.25
2,527,1,0,Hadapsar,35
4,800,1,0,Manik Bagh,170
4,1800,2,0,Hadapsar,300
4,900,2,0,Baner road,65
4,1006,2,1,Satara Road,57
4,1050,2,1,Kasba Peth,110
4,1200,2,0,Alandi Road,75
4,1200,2,1,Jangali Maharaj Road,66
4,1200,2,0,Jangali Maharaj Road,73
4,1200,2,0,Kondhwa,63
4,1200,2,1,Pirangut,130
4,1240,2,1,Ambegaon Budruk,60
4,1350,1,0,Kondhwa Budruk,100
4,2400,3,1,Kharadi,150
4,2400,2,1,Sadashiv Peth,160
4,2400,2,1,Vadgaon Budruk,95
5,545,1,1,Ghorpade Peth,28
5,545,1,1,Karve Road,29
5,550,1,1,Kothrud,15
5,550,1,1,Vadgaon Budruk,16
5,560,2,1,Ambegaon Budruk,22
5,560,2,1,Mangalwar peth,16.6
5,565,2,1,Jangali Maharaj Road,15
5,596,2,1,Balaji Nagar,22
5,600,1,0,Gultekdi,27
5,600,1,1,Yerawada,22
5,620,2,1,Sadashiv Peth,22
5,650,1,1,Balaji Nagar,17
5,650,2,0,Dehu Road,42
5,656,2,1,Senapati Bapat Road,25
5,700,1,1,Hingne Khurd,32
5,735,2,1,Sasson Road,35
5,740,1,1,Shivaji Nagar,22
5,750,2,1,Aundh Road,36
5,750,2,0,Dhole Patil Road,40
5,750,2,0,Kharadi,20
5,750,2,1,Shukrawar Peth,19.5
5,770,1,1,Shaniwar Peth,35
5,770,1,1,Somwar Peth,36
5,780,2,1,Bund Garden Road,35
5,787,2,1,Nagar Road,31
5,799,2,1,Shukrawar Peth,35
5,799,2,1,Wanowrie,38
5,800,2,2,Aundh Road,32
5,800,2,1,Camp,33
5,800,2,1,Jangali Maharaj Road,32
5,800,2,2,Katraj,28
5,800,2,1,Nagar Road,40
5,812,2,1,Sahakar Nagar,38.25
5,820,2,0,Sahakar Nagar,39
5,820,2,1,Wagholi,45
5,825,2,1,Kasba Peth,32
5,830,2,2,Ganeshkhind,40
5,835,2,0,Pirangut,37
5,840,2,2,Kothrud,27
5,845,2,1,Kondhwa Budruk,33
5,845,2,0,Koregaon Park,34
5,845,2,1,Vadgaon Budruk,30
5,850,2,2,Gultekdi,45
5,850,1,1,Karve Nagar,18.5
5,850,2,2,Mahatma Gandhi Road,35
